Epoch [97000/150000], train_acc: 0.361329, test_acc: 0.290339
Epoch [98000/150000], train_acc: 0.363170, test_acc: 0.292785
Epoch [99000/150000], train_acc: 0.361755, test_acc: 0.290579
Epoch [100000/150000], train_acc: 0.362007, test_acc: 0.292043
Epoch [101000/150000], train_acc: 0.364486, test_acc: 0.293943
Epoch [102000/150000], train_acc: 0.372317, test_acc: 0.300343
Epoch [103000/150000], train_acc: 0.366474, test_acc: 0.293288
Epoch [104000/150000], train_acc: 0.371388, test_acc: 0.298290
Epoch [105000/150000], train_acc: 0.372650, test_acc: 0.300190
Epoch [106000/150000], train_acc: 0.372977, test_acc: 0.301566
Epoch [107000/150000], train_acc: 0.368505, test_acc: 0.296848
Epoch [108000/150000], train_acc: 0.372896, test_acc: 0.301086
Epoch [109000/150000], train_acc: 0.377253, test_acc: 0.303423
Epoch [110000/150000], train_acc: 0.373463, test_acc: 0.299011
Epoch [111000/150000], train_acc: 0.379061, test_acc: 0.303466
Epoch [112000/150000], train_acc: 0.379028, test_acc: 0.302156
Epoch [113000/150000], train_acc: 0.382681, test_acc: 0.307988
Epoch [114000/150000], train_acc: 0.384243, test_acc: 0.306677
Epoch [115000/150000], train_acc: 0.382703, test_acc: 0.307311
Epoch [116000/150000], train_acc: 0.378362, test_acc: 0.300736
Epoch [117000/150000], train_acc: 0.383173, test_acc: 0.306677
Epoch [118000/150000], train_acc: 0.383861, test_acc: 0.305957
Epoch [119000/150000], train_acc: 0.385374, test_acc: 0.308578
Epoch [120000/150000], train_acc: 0.389513, test_acc: 0.311745
Epoch [121000/150000], train_acc: 0.361302, test_acc: 0.288897
Epoch [122000/150000], train_acc: 0.380797, test_acc: 0.303052
Epoch [123000/150000], train_acc: 0.389136, test_acc: 0.308818
Epoch [124000/150000], train_acc: 0.388006, test_acc: 0.309976
Epoch [125000/150000], train_acc: 0.389032, test_acc: 0.311112
Epoch [126000/150000], train_acc: 0.391299, test_acc: 0.312990
Epoch [127000/150000], train_acc: 0.391703, test_acc: 0.313296
Epoch [128000/150000], train_acc: 0.393210, test_acc: 0.315546
Epoch [129000/150000], train_acc: 0.391632, test_acc: 0.312641
Epoch [130000/150000], train_acc: 0.393379, test_acc: 0.313077
Epoch [131000/150000], train_acc: 0.391757, test_acc: 0.313274
Epoch [132000/150000], train_acc: 0.398463, test_acc: 0.316419
Epoch [133000/150000], train_acc: 0.394744, test_acc: 0.314104
Epoch [134000/150000], train_acc: 0.397529, test_acc: 0.317752
Epoch [135000/150000], train_acc: 0.398420, test_acc: 0.317446
Epoch [136000/150000], train_acc: 0.397349, test_acc: 0.315699
Epoch [137000/150000], train_acc: 0.400222, test_acc: 0.316638
Epoch [138000/150000], train_acc: 0.397704, test_acc: 0.316922
Epoch [139000/150000], train_acc: 0.399583, test_acc: 0.317162
Epoch [140000/150000], train_acc: 0.401942, test_acc: 0.318888
Epoch [141000/150000], train_acc: 0.401199, test_acc: 0.315546
Epoch [142000/150000], train_acc: 0.403269, test_acc: 0.318364
Epoch [143000/150000], train_acc: 0.401838, test_acc: 0.318189
Epoch [144000/150000], train_acc: 0.405197, test_acc: 0.319019
Epoch [145000/150000], train_acc: 0.403356, test_acc: 0.316594
Epoch [146000/150000], train_acc: 0.400391, test_acc: 0.317686
Epoch [147000/150000], train_acc: 0.405737, test_acc: 0.321334
Epoch [148000/150000], train_acc: 0.409877, test_acc: 0.323453
Epoch [149000/150000], train_acc: 0.405896, test_acc: 0.321422
Epoch [150000/150000], train_acc: 0.406966, test_acc: 0.319041
