Epoch [3000/300000], train_acc: 0.056809, test_acc: 0.055678
Epoch [6000/300000], train_acc: 0.070778, test_acc: 0.070597
Epoch [9000/300000], train_acc: 0.072766, test_acc: 0.073677
Epoch [12000/300000], train_acc: 0.083726, test_acc: 0.082698
Epoch [15000/300000], train_acc: 0.113024, test_acc: 0.109609
Epoch [18000/300000], train_acc: 0.128385, test_acc: 0.123064
Epoch [21000/300000], train_acc: 0.137690, test_acc: 0.128853
Epoch [24000/300000], train_acc: 0.140497, test_acc: 0.129617
Epoch [27000/300000], train_acc: 0.163296, test_acc: 0.145956
Epoch [30000/300000], train_acc: 0.176888, test_acc: 0.157139
Epoch [33000/300000], train_acc: 0.183917, test_acc: 0.162731
Epoch [36000/300000], train_acc: 0.188733, test_acc: 0.164785
Epoch [39000/300000], train_acc: 0.194336, test_acc: 0.168367
Epoch [42000/300000], train_acc: 0.221094, test_acc: 0.191564
Epoch [45000/300000], train_acc: 0.230847, test_acc: 0.199122
Epoch [48000/300000], train_acc: 0.240153, test_acc: 0.206134
Epoch [51000/300000], train_acc: 0.252265, test_acc: 0.218038
Epoch [54000/300000], train_acc: 0.265966, test_acc: 0.229528
Epoch [57000/300000], train_acc: 0.272093, test_acc: 0.235054
Epoch [60000/300000], train_acc: 0.291900, test_acc: 0.248072
Epoch [63000/300000], train_acc: 0.300555, test_acc: 0.254451
Epoch [66000/300000], train_acc: 0.304329, test_acc: 0.260567
Epoch [69000/300000], train_acc: 0.310713, test_acc: 0.261287
Epoch [72000/300000], train_acc: 0.316561, test_acc: 0.263166
Epoch [75000/300000], train_acc: 0.324272, test_acc: 0.270352
Epoch [78000/300000], train_acc: 0.324414, test_acc: 0.268670
Epoch [81000/300000], train_acc: 0.338356, test_acc: 0.280400
Epoch [84000/300000], train_acc: 0.339131, test_acc: 0.282148
Epoch [87000/300000], train_acc: 0.342255, test_acc: 0.281099
Epoch [90000/300000], train_acc: 0.345744, test_acc: 0.283393
Epoch [93000/300000], train_acc: 0.346694, test_acc: 0.285795
Epoch [96000/300000], train_acc: 0.359467, test_acc: 0.298180
Epoch [99000/300000], train_acc: 0.365469, test_acc: 0.301588
Epoch [102000/300000], train_acc: 0.367233, test_acc: 0.303445
Epoch [105000/300000], train_acc: 0.365895, test_acc: 0.300649
Epoch [108000/300000], train_acc: 0.372961, test_acc: 0.303969
Epoch [111000/300000], train_acc: 0.376756, test_acc: 0.309888
Epoch [114000/300000], train_acc: 0.381480, test_acc: 0.311068
Epoch [117000/300000], train_acc: 0.382092, test_acc: 0.310981
Epoch [120000/300000], train_acc: 0.380808, test_acc: 0.310828
Epoch [123000/300000], train_acc: 0.388727, test_acc: 0.314388
Epoch [126000/300000], train_acc: 0.386706, test_acc: 0.311155
Epoch [129000/300000], train_acc: 0.390802, test_acc: 0.317271
Epoch [132000/300000], train_acc: 0.393936, test_acc: 0.316900
Epoch [135000/300000], train_acc: 0.392762, test_acc: 0.316725
Epoch [138000/300000], train_acc: 0.401205, test_acc: 0.320897
Epoch [141000/300000], train_acc: 0.399774, test_acc: 0.322186
Epoch [144000/300000], train_acc: 0.404842, test_acc: 0.325331
Epoch [147000/300000], train_acc: 0.407982, test_acc: 0.327079
Epoch [150000/300000], train_acc: 0.410177, test_acc: 0.327974
Epoch [153000/300000], train_acc: 0.412935, test_acc: 0.327756
Epoch [156000/300000], train_acc: 0.411799, test_acc: 0.328215
Epoch [159000/300000], train_acc: 0.413666, test_acc: 0.330552
Epoch [162000/300000], train_acc: 0.417576, test_acc: 0.330683
Epoch [165000/300000], train_acc: 0.418008, test_acc: 0.327297
Epoch [168000/300000], train_acc: 0.418800, test_acc: 0.329372
Epoch [171000/300000], train_acc: 0.422944, test_acc: 0.331666
Epoch [174000/300000], train_acc: 0.423414, test_acc: 0.331317
Epoch [177000/300000], train_acc: 0.422999, test_acc: 0.328215
Epoch [180000/300000], train_acc: 0.428192, test_acc: 0.333850
Epoch [183000/300000], train_acc: 0.428372, test_acc: 0.333173
Epoch [186000/300000], train_acc: 0.429459, test_acc: 0.332605
Epoch [189000/300000], train_acc: 0.426008, test_acc: 0.332846
Epoch [192000/300000], train_acc: 0.427641, test_acc: 0.331841
Epoch [195000/300000], train_acc: 0.431403, test_acc: 0.332540
Epoch [198000/300000], train_acc: 0.431715, test_acc: 0.334921
Epoch [201000/300000], train_acc: 0.433631, test_acc: 0.333588
Epoch [204000/300000], train_acc: 0.432359, test_acc: 0.330836
Epoch [207000/300000], train_acc: 0.436455, test_acc: 0.336428
Epoch [210000/300000], train_acc: 0.437678, test_acc: 0.335751
Epoch [213000/300000], train_acc: 0.434510, test_acc: 0.333981
Epoch [216000/300000], train_acc: 0.437126, test_acc: 0.332103
Epoch [219000/300000], train_acc: 0.440845, test_acc: 0.337323
Epoch [222000/300000], train_acc: 0.439420, test_acc: 0.332846
Epoch [225000/300000], train_acc: 0.441118, test_acc: 0.336035
Epoch [228000/300000], train_acc: 0.442533, test_acc: 0.336035
Epoch [231000/300000], train_acc: 0.443963, test_acc: 0.336843
Epoch [234000/300000], train_acc: 0.444548, test_acc: 0.336624
Epoch [237000/300000], train_acc: 0.440714, test_acc: 0.333960
Epoch [240000/300000], train_acc: 0.448097, test_acc: 0.335729
Epoch [243000/300000], train_acc: 0.446590, test_acc: 0.333523
Epoch [246000/300000], train_acc: 0.447567, test_acc: 0.337389
Epoch [249000/300000], train_acc: 0.449211, test_acc: 0.336908
Epoch [252000/300000], train_acc: 0.448452, test_acc: 0.337454
Epoch [255000/300000], train_acc: 0.448922, test_acc: 0.334396
Epoch [258000/300000], train_acc: 0.450828, test_acc: 0.337258
Epoch [261000/300000], train_acc: 0.452531, test_acc: 0.336581
Epoch [264000/300000], train_acc: 0.451974, test_acc: 0.335838
Epoch [267000/300000], train_acc: 0.456217, test_acc: 0.337127
Epoch [270000/300000], train_acc: 0.454710, test_acc: 0.336209
Epoch [273000/300000], train_acc: 0.454099, test_acc: 0.337018
Epoch [276000/300000], train_acc: 0.457856, test_acc: 0.337804
Epoch [279000/300000], train_acc: 0.457020, test_acc: 0.338831
Epoch [282000/300000], train_acc: 0.455584, test_acc: 0.337061
Epoch [285000/300000], train_acc: 0.455704, test_acc: 0.336384
Epoch [288000/300000], train_acc: 0.457566, test_acc: 0.337738
Epoch [291000/300000], train_acc: 0.455600, test_acc: 0.335292
Epoch [294000/300000], train_acc: 0.459958, test_acc: 0.338765
Epoch [297000/300000], train_acc: 0.460581, test_acc: 0.336865
Epoch [300000/300000], train_acc: 0.458538, test_acc: 0.338699
