Epoch [1000/100000], train_acc: 0.050868, test_acc: 0.052336
Epoch [2000/100000], train_acc: 0.051802, test_acc: 0.051943
Epoch [3000/100000], train_acc: 0.055433, test_acc: 0.055241
Epoch [4000/100000], train_acc: 0.069872, test_acc: 0.070575
Epoch [5000/100000], train_acc: 0.072067, test_acc: 0.072301
Epoch [6000/100000], train_acc: 0.072193, test_acc: 0.071886
Epoch [7000/100000], train_acc: 0.074377, test_acc: 0.075009
Epoch [8000/100000], train_acc: 0.079734, test_acc: 0.079050
Epoch [9000/100000], train_acc: 0.079991, test_acc: 0.079487
Epoch [10000/100000], train_acc: 0.083628, test_acc: 0.081387
Epoch [11000/100000], train_acc: 0.104718, test_acc: 0.103384
Epoch [12000/100000], train_acc: 0.116950, test_acc: 0.115528
Epoch [13000/100000], train_acc: 0.119648, test_acc: 0.117582
Epoch [14000/100000], train_acc: 0.128909, test_acc: 0.127760
Epoch [15000/100000], train_acc: 0.128691, test_acc: 0.125052
Epoch [16000/100000], train_acc: 0.142430, test_acc: 0.136891
Epoch [17000/100000], train_acc: 0.142245, test_acc: 0.135296
Epoch [18000/100000], train_acc: 0.145958, test_acc: 0.138245
Epoch [19000/100000], train_acc: 0.153947, test_acc: 0.144099
Epoch [20000/100000], train_acc: 0.149497, test_acc: 0.140189
Epoch [21000/100000], train_acc: 0.147372, test_acc: 0.135952
Epoch [22000/100000], train_acc: 0.153707, test_acc: 0.140997
Epoch [23000/100000], train_acc: 0.163930, test_acc: 0.151526
Epoch [24000/100000], train_acc: 0.162756, test_acc: 0.149298
Epoch [25000/100000], train_acc: 0.179111, test_acc: 0.164217
Epoch [26000/100000], train_acc: 0.182393, test_acc: 0.165221
Epoch [27000/100000], train_acc: 0.188700, test_acc: 0.170660
Epoch [28000/100000], train_acc: 0.187941, test_acc: 0.168825
Epoch [29000/100000], train_acc: 0.193593, test_acc: 0.173019
Epoch [30000/100000], train_acc: 0.194511, test_acc: 0.173391
Epoch [31000/100000], train_acc: 0.201075, test_acc: 0.178087
Epoch [32000/100000], train_acc: 0.201457, test_acc: 0.177257
Epoch [33000/100000], train_acc: 0.208157, test_acc: 0.180424
Epoch [34000/100000], train_acc: 0.210462, test_acc: 0.182128
Epoch [35000/100000], train_acc: 0.220051, test_acc: 0.190079
Epoch [36000/100000], train_acc: 0.216578, test_acc: 0.188550
Epoch [37000/100000], train_acc: 0.233747, test_acc: 0.203119
Epoch [38000/100000], train_acc: 0.243817, test_acc: 0.209541
Epoch [39000/100000], train_acc: 0.248191, test_acc: 0.214674
Epoch [40000/100000], train_acc: 0.253559, test_acc: 0.220266
Epoch [41000/100000], train_acc: 0.253499, test_acc: 0.217841
Epoch [42000/100000], train_acc: 0.263050, test_acc: 0.225443
Epoch [43000/100000], train_acc: 0.265224, test_acc: 0.226295
Epoch [44000/100000], train_acc: 0.265955, test_acc: 0.230314
Epoch [45000/100000], train_acc: 0.271411, test_acc: 0.230598
Epoch [46000/100000], train_acc: 0.248104, test_acc: 0.215198
Epoch [47000/100000], train_acc: 0.270657, test_acc: 0.229680
Epoch [48000/100000], train_acc: 0.284369, test_acc: 0.242830
Epoch [49000/100000], train_acc: 0.289404, test_acc: 0.244905
Epoch [50000/100000], train_acc: 0.288328, test_acc: 0.245582
Epoch [51000/100000], train_acc: 0.285183, test_acc: 0.240602
Epoch [52000/100000], train_acc: 0.289672, test_acc: 0.242262
Epoch [53000/100000], train_acc: 0.297410, test_acc: 0.251043
Epoch [54000/100000], train_acc: 0.298054, test_acc: 0.250344
Epoch [55000/100000], train_acc: 0.299387, test_acc: 0.250257
Epoch [56000/100000], train_acc: 0.303881, test_acc: 0.252485
Epoch [57000/100000], train_acc: 0.306502, test_acc: 0.252659
Epoch [58000/100000], train_acc: 0.311406, test_acc: 0.257094
Epoch [59000/100000], train_acc: 0.309102, test_acc: 0.253708
Epoch [60000/100000], train_acc: 0.309751, test_acc: 0.253992
Epoch [61000/100000], train_acc: 0.319144, test_acc: 0.260152
Epoch [62000/100000], train_acc: 0.316474, test_acc: 0.261702
Epoch [63000/100000], train_acc: 0.322421, test_acc: 0.263450
Epoch [64000/100000], train_acc: 0.324905, test_acc: 0.261484
Epoch [65000/100000], train_acc: 0.330891, test_acc: 0.268102
Epoch [66000/100000], train_acc: 0.328930, test_acc: 0.269828
Epoch [67000/100000], train_acc: 0.331639, test_acc: 0.270352
Epoch [68000/100000], train_acc: 0.334932, test_acc: 0.273126
Epoch [69000/100000], train_acc: 0.334134, test_acc: 0.272406
Epoch [70000/100000], train_acc: 0.309522, test_acc: 0.249842
Epoch [71000/100000], train_acc: 0.340431, test_acc: 0.276796
Epoch [72000/100000], train_acc: 0.339999, test_acc: 0.275638
Epoch [73000/100000], train_acc: 0.344674, test_acc: 0.280968
Epoch [74000/100000], train_acc: 0.344575, test_acc: 0.280859
Epoch [75000/100000], train_acc: 0.348797, test_acc: 0.281776
Epoch [76000/100000], train_acc: 0.349468, test_acc: 0.284266
Epoch [77000/100000], train_acc: 0.352985, test_acc: 0.285664
Epoch [78000/100000], train_acc: 0.352996, test_acc: 0.286516
Epoch [79000/100000], train_acc: 0.351150, test_acc: 0.286429
Epoch [80000/100000], train_acc: 0.357054, test_acc: 0.287040
Epoch [81000/100000], train_acc: 0.361056, test_acc: 0.293222
Epoch [82000/100000], train_acc: 0.361690, test_acc: 0.294860
Epoch [83000/100000], train_acc: 0.357938, test_acc: 0.289946
Epoch [84000/100000], train_acc: 0.363891, test_acc: 0.297154
Epoch [85000/100000], train_acc: 0.369275, test_acc: 0.299316
Epoch [86000/100000], train_acc: 0.370629, test_acc: 0.298508
Epoch [87000/100000], train_acc: 0.369422, test_acc: 0.301107
Epoch [88000/100000], train_acc: 0.368068, test_acc: 0.297591
Epoch [89000/100000], train_acc: 0.365988, test_acc: 0.295625
Epoch [90000/100000], train_acc: 0.370908, test_acc: 0.300714
Epoch [91000/100000], train_acc: 0.371579, test_acc: 0.299972
Epoch [92000/100000], train_acc: 0.374577, test_acc: 0.302702
Epoch [93000/100000], train_acc: 0.375937, test_acc: 0.302243
Epoch [94000/100000], train_acc: 0.370973, test_acc: 0.302287
Epoch [95000/100000], train_acc: 0.371863, test_acc: 0.300234
Epoch [96000/100000], train_acc: 0.377597, test_acc: 0.305869
Epoch [97000/100000], train_acc: 0.380186, test_acc: 0.306896
Epoch [98000/100000], train_acc: 0.380497, test_acc: 0.304712
Epoch [99000/100000], train_acc: 0.381742, test_acc: 0.306306
Epoch [100000/100000], train_acc: 0.381294, test_acc: 0.307202
